UNIQUE_IDENTIFIER,NUM_NEARBY_SHIPS
12 720571,7
12 720629,7
12 720670,0
12 720675,22018
12 720677,22179
12 720684,6
12 720689,1906
12 720690,0
12 720699,22763
12 720729,0
12 720730,0
12 720743,22846
12 720757,8286
12 720758,8288
12 720759,9507
12 720760,9516
12 720811,0
12 720933,22852
12 720934,22863
12 720940,52
12 720941,53
12 724275,35
12 724279,7
12 730058,0
12 730059,0
12 734061,1
12 734062,0
12 734063,0
12 734064,0
12 734071,1
12 740008,0
12 740018,0
12 740031,0
12 740070,297
12 740087,0
12 740088,0
12 740089,0
12 740138,0
12 74GA40,0
12 750003,0
12 760002,0
12 760035,0
12 760043,4
12 760044,4
12 760045,4
12 760046,2
12 760065,2
12 770070,0
12 770094,0
12 780003,32
12 780042,0
12 780055,0
12 780056,4
12 780074,32
12 780089,32
12 780090,1
12 780097,1
12 780098,0
12 780099,20
12 780100,32
12 780119,1
12 780120,1
12 780129,32
12 784026,0
12 784055,0
12 790030,0
12 790124,0
12 790132,0
12 790148,0
12 790152,0
12 790172,0
12 790174,0
12 790175,0
12 790187,0
12 790188,0
12 790196,0
12 790197,0
12 790219,0
12 794004,0
12 794016,0
12 794025,0
12 794198,0
12 860001,1013
12 860008,10
12 860011,2
12 860018,96
12 860031,0
12 860035,25301
12 860038,14
12 860043,7
12 860045,0
12 860060,2
12 860109,1
12 860144,1
12 860146,2
12 860157,2
12 860160,13178
12 860161,25366
12 860209,1
12 860213,10
12 860222,0
12 860230,7
12 860259,0
12 860260,9
12 860270,9
12 860271,9
12 860275,0
12 860278,0
12 860319,18
12 860415,0
12 860423,0
12 860424,0
12 860427,10
12 860428,10
12 860429,10
12 860430,10
12 860431,10
12 860466,13
12 860467,10
12 860477,0
12 860546,1
12 860567,0
12 860574,0
12 860575,0
12 860591,2
12 860592,2
12 860601,9
12 860602,10
12 860618,6
12 860619,5
12 860622,25235
12 860623,25244
12 860628,9
12 860655,0
12 860669,12
12 860678,0
12 860920,12682
12 860941,2
12 864071,19
12 864072,13
12 864127,0
12 865748,14
12 870071,5
12 870077,11091
12 870082,0
12 870085,0
12 870136,0
12 870147,651
12 870289,0
12 870298,652
12 870301,5
12 870302,4
12 870356,774
12 870453,782
12 870479,779
12 870551,0
12 870554,0
12 870592,0
12 870593,0
12 870606,1
12 870607,1
12 870613,5
12 870661,764
12 870731,637
12 870759,5313
12 870763,637
12 870771,2754
12 870772,3781
12 870790,1
12 870990,755
12 871005,656
12 871032,0
12 871090,0
12 871183,766
12 873002,0
12 874002,622
12 874019,632
12 874026,0
12 874134,624
12 874161,647
12 874237,0
12 874264,790
12 874383,641
12 874459,1329
12 874474,136
12 874544,8
12 874545,754
12 874642,612
12 874649,0
12 874663,3191
12 874664,3364
12 874998,5688
12 875000,5542
12 875001,5682
12 875101,1
12 875303,0
12 875400,0
12 876100,2
12 876414,5647
12 876707,6
12 876708,5
12 876710,4
12 876728,1
12 876731,11076
12 880005,0
12 880051,0
12 880053,0
12 880077,0
12 880087,0
12 890002,1
12 890003,1
12 890038,1
12 890066,1
12 890093,1
12 890103,1
12 890107,0
12 890127,1
12 890132,1
12 890133,1
12 890134,1
12 890135,1
12 890143,1
12 890145,0
12 890150,1
12 890151,1
12 890152,1
12 890158,1
12 890160,1
12 890161,1
12 890162,1
12 891000,1
12 894044,0
12 894062,1
12 900003,0
12 900016,1
12 900045,1
12 900074,0
12 900077,0
12 900078,0
12 900094,1
12 900095,0
12 900097,0
12 900098,0
12 900101,4
12 900106,0
12 900116,0
12 900117,0
12 900127,0
12 900131,0
12 904025,115
12 904320,0
12 904604,0
12 904606,0
12 904990,0
12 910001,0
12 910009,0
12 910054,0
12 930003,8
12 930004,7
12 930026,1
12 930056,0
12 930060,3
12 930061,7
12 930064,1
12 930072,0
12 930104,7
12 930106,7
12 930154,3
12 930214,2
12 930226,3
12 930269,2688
12 930318,4
12 930322,2
12 930339,0
12 930349,7
12 930367,2
12 930370,3
12 930373,2
12 930409,0
12 930410,0
12 930446,2
12 930453,0
12 930454,0
12 930472,0
12 930473,0
12 930474,0
12 930475,0
12 930506,3
12 930507,1
12 930532,0
12 930541,0
12 930542,0
12 930543,0
12 930544,0
12 930546,7
12 930547,18
12 930548,1
12 930559,2
12 934160,1
12 934161,1
12 934369,6
12 934408,2
12 934908,2
12 940009,14
12 940045,15
12 940094,15
12 940140,0
12 940145,0
12 944011,0
12 1FL1322,115
12 703004,0
13 0000000000M9381,0
13 000000000700020,0
13 000000003750280,0
13 000000003900110,0
13 000000003900290,0
13 000000003900380,0
13 000000003900390,0
13 000000003900440,0
13 000000003900450,0
13 000000003990010,0
13 000000003990020,0
13 000000004990010,0
13 000000004990020,0
13 000000005100650,39586
13 000000005100660,39980
13 000000005100760,0
13 000000005101460,0
13 000000005101630,0
13 000000005101690,39656
13 000000005150830,0
13 000000006100020,0
13 000000006753230,0
13 000000006753500,0
13 000000007390010,0
